models,therapeutic_area_name,roc_auc,average_precision,n_samples,n_positives,stratum
ots__all,cardiovascular disease,0.48059576837416473,0.28361319373389104,609,160,known
ots__all,disorder of visual system,0.6284122562674095,0.12853202627827903,379,20,known
ots__all,endocrine system disease,0.521188209752839,0.027789275334711417,1022,24,known
ots__all,gastrointestinal disease,0.5388438459071961,0.053189104846309315,1187,38,known
ots__all,"genetic, familial or congenital disease",0.4624035467713551,0.08635268346191581,1946,166,known
ots__all,hematologic disease,0.5873473445044022,0.0818164489112708,1041,35,known
ots__all,immune system disease,0.5798946515397082,0.09683912385244431,1284,50,known
ots__all,infectious disease,0.4816585227675094,0.05670844768883984,550,27,known
ots__all,infectious disease or post-infectious disorder,0.4816585227675094,0.05670844768883984,550,27,known
ots__all,integumentary system disease,0.5747147589252853,0.04485657255731492,653,26,known
ots__all,musculoskeletal or connective tissue disease,0.5750208005916613,0.13785186965982527,804,58,known
ots__all,nervous system disease,0.5408004323224617,0.05911521269545431,1582,84,known
ots__all,nutritional or metabolic disease,0.5536332179930796,0.13606060606060605,300,11,known
ots__all,pancreas disease,0.2804878048780488,0.00966183574879227,207,2,known
ots__all,phenotype,0.5000820479159829,0.056023133213317707,587,33,known
ots__all,pregnancy or perinatal disease,0.43478260869565216,0.041666666666666664,24,1,known
ots__all,psychiatric disorder,0.4054282335717101,0.1560709683814055,360,59,known
ots__all,reproductive system or breast disease,0.4289062954982238,0.07634999635160684,969,77,known
ots__all,respiratory or thoracic disease,0.5200988531490134,0.09442816453244476,598,47,known
ots__all,urinary system disease,0.44889855718198385,0.19241986024549068,694,137,known
p3_lambdarank,all,0.6282952701873699,0.1142092637651493,17342,1314,known
p3_lambdarank,biological process,0.006006006006006006,0.03245542439346361,157,9,known
p3_lambdarank,cancer or benign tumor,0.4529585798816568,0.02527976532074295,3874,104,known
p3_lambdarank,cardiovascular disease,0.6095072383073497,0.49396903652582497,609,160,known
p3_lambdarank,disorder of visual system,0.49345403899721446,0.14793724902708355,379,20,known
p3_lambdarank,endocrine system disease,0.60688042752171,0.06356286305336152,1022,24,known
p3_lambdarank,gastrointestinal disease,0.5376986853556869,0.05447070413968336,1187,38,known
p3_lambdarank,"genetic, familial or congenital disease",0.6479795586841748,0.12452077989387877,1946,166,known
p3_lambdarank,hematologic disease,0.7393354160749787,0.14892149914799674,1041,35,known
p3_lambdarank,immune system disease,0.683030794165316,0.1156739930803157,1284,50,known
p3_lambdarank,infectious disease,0.5025139862615962,0.04854789313820177,550,27,known
p3_lambdarank,infectious disease or post-infectious disorder,0.5025139862615962,0.04854789313820177,550,27,known
p3_lambdarank,integumentary system disease,0.6166114587167218,0.10544645275173439,653,26,known
p3_lambdarank,musculoskeletal or connective tissue disease,0.6361976518443191,0.15932787860263664,804,58,known
p3_lambdarank,nervous system disease,0.4692844427490622,0.06840290695068499,1582,84,known
p3_lambdarank,nutritional or metabolic disease,0.46807172066687636,0.09300744260151554,300,11,known
p3_lambdarank,pancreas disease,0.8878048780487805,0.05952380952380952,207,2,known
p3_lambdarank,phenotype,0.6179849031834592,0.086434696413995,587,33,known
p3_lambdarank,pregnancy or perinatal disease,0.26086956521739135,0.05555555555555555,24,1,known
p3_lambdarank,psychiatric disorder,0.18356889464496876,0.10186562641037511,360,59,known
p3_lambdarank,reproductive system or breast disease,0.784928076407897,0.210015691221079,969,77,known
p3_lambdarank,respiratory or thoracic disease,0.5392516507703595,0.08005848269399302,598,47,known
p3_lambdarank,urinary system disease,0.4619376482459474,0.1752106713237855,694,137,known
rdg__all__positive,all,0.7472509106020324,0.17999793441766726,17342,1314,known
rdg__all__positive,biological process,0.9309309309309309,0.3508382140735081,157,9,known
rdg__all__positive,cancer or benign tumor,0.754981126300755,0.07363408593763392,3874,104,known
rdg__all__positive,cardiovascular disease,0.8250208797327394,0.5204054746861838,609,160,known
rdg__all__positive,disorder of visual system,0.6037604456824512,0.1068640347385578,379,20,known
rdg__all__positive,endocrine system disease,0.7219647628590515,0.05603731754310447,1022,24,known
rdg__all__positive,gastrointestinal disease,0.7396477486143557,0.10109077991340507,1187,38,known
rdg__all__positive,"genetic, familial or congenital disease",0.8591122918640854,0.3092433380095126,1946,166,known
rdg__all__positive,hematologic disease,0.8007526270945754,0.1695199708198115,1041,35,known
rdg__all__positive,immune system disease,0.7698460291734197,0.17236314311728573,1284,50,known
rdg__all__positive,infectious disease,0.6655336024360882,0.08493245836160819,550,27,known
